ID,Title,Difficulty,Solved?,推荐指数,击败,Tags
305,305. Number of Islands II,Hard,Yes,,,
311,311. Sparse Matrix Multiplication,Medium,Yes,,,
308,308. Range Sum Query 2D - Mutable,Hard,Yes,,,
317,317. Shortest Distance from All Buildings,Hard,Yes,,,
314,314. Binary Tree Vertical Order Traversal,Medium,Yes,,,
323,323. Number of Connected Components in an Undirected Graph,Medium,Yes,,,
320,320. Generalized Abbreviation,Medium,Yes,,,
325,325. Maximum Size Subarray Sum Equals k,Medium,Yes,,,
333,333. Largest BST Subtree,Medium,Yes,,,
340,340. Longest Substring with At Most K Distinct Characters,Hard,Yes,,,
339,339. Nested List Weight Sum,Easy,Yes,,,
346,346. Moving Average from Data Stream,Easy,Yes,,,
348,348. Design Tic-Tac-Toe,Medium,Yes,,,
303,303. Range Sum Query - Immutable,Easy,Yes,⭐⭐,99.1,
326,326. Power of Three,Easy,Yes,⭐⭐,,
342,342. Power of Four,Easy,Yes,⭐⭐⭐⭐,53.64,Bit Manipulation
344,344. Reverse String,Easy,Yes,⭐⭐,79.69,
345,345. Reverse Vowels of a String,Easy,Yes,⭐⭐,83.36,
,,,No,,,
349,349. Intersection of Two Arrays,Easy,Yes,⭐⭐,69.59,
350,350. Intersection of Two Arrays II,Easy,Yes,⭐⭐,79.79,
367,367. Valid Perfect Square,Easy,Yes,⭐⭐⭐,75.66,"Binary Search, Math"
351,351. Android Unlock Patterns,Medium,Yes,,,
,,,No,,,
353,353. Design Snake Game,Medium,Yes,,,
356,356. Line Reflection,Medium,Yes,,,
359,359. Logger Rate Limiter,Easy,Yes,,,
360,360. Sort Transformed Array,Medium,Yes,,,
358,358. Rearrange String k Distance Apart,Hard,Yes,,,
362,362. Design Hit Counter,Medium,Yes,,,
361,361. Bomb Enemy,Medium,Yes,,,
364,364. Nested List Weight Sum II,Medium,Yes,,,
366,366. Find Leaves of Binary Tree,Medium,Yes,,,
370,370. Range Addition,Medium,Yes,,,
374,374. Guess Number Higher or Lower,Easy,Yes,⭐⭐,,
383,383. Ransom Note,Easy,Yes,⭐⭐,69.68,
387,387. First Unique Character in a String,Easy,Yes,⭐⭐,71.89,
389,389. Find the Difference,Easy,Yes,⭐⭐⭐,91.82,"Bit Manipulation, Hash Table"
392,392. Is Subsequence,Easy,Yes,⭐⭐⭐,83.56,"Binary Search, DP, Greedy"
304,304. Range Sum Query 2D - Immutable,Medium,Yes,⭐⭐,39.76,
306,306. Additive Number,Medium,Yes,⭐⭐,94.32,
347,347. Top K Frequent Elements,Medium,Yes,⭐⭐⭐,,
